#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  158
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  158
#! SET periodic_psi true
   -3.141592654   -3.141592654   44.878265691   41.813443061  -16.539492276
   -3.101825658   -3.141592654   46.494886110   38.717176511  -16.028026221
   -3.062058662   -3.141592654   47.987762683   35.716667632  -15.628367279
   -3.022291667   -3.141592654   49.368129917   32.778348236  -15.416868033
   -2.982524671   -3.141592654   50.622627017   29.747017696  -15.359472470
   -2.942757676   -3.141592654   51.768732440   26.577968104  -15.567245455
   -2.902990680   -3.141592654   52.770627738   23.038818218  -15.955389866
   -2.863223684   -3.141592654   53.613507615   19.351397775  -16.399233994
   -2.823456689   -3.141592654   54.319955399   15.635093219  -16.912310942
   -2.783689693   -3.141592654   54.893525554   12.277539936  -17.259233966
   -2.743922697   -3.141592654   55.310125969    8.953044107  -17.510175061
   -2.704155702   -3.141592654   55.610354781    5.971281603  -17.470325866
   -2.664388706   -3.141592654   55.789692758    3.053063704  -17.274498866
   -2.624621711   -3.141592654   55.869807508    0.630983847  -16.883206971
   -2.584854715   -3.141592654   55.849759197   -1.516491710  -16.384560378
   -2.545087719   -3.141592654   55.759565700   -3.404353643  -16.009852069
   -2.505320724   -3.141592654   55.588550107   -5.033355581  -15.652571429
   -2.465553728   -3.141592654   55.361171178   -6.414550100  -15.594170820
   -2.425786733   -3.141592654   55.092441763   -7.489462818  -15.837231042
   -2.386019737   -3.141592654   54.780672269   -8.386659953  -16.317815087
   -2.346252741   -3.141592654   54.436184790   -9.196643003  -16.923529734
   -2.306485746   -3.141592654   54.044454181   -9.841905095  -17.768331429
   -2.266718750   -3.141592654   53.630683560  -10.440208905  -18.465970662
   -2.226951754   -3.141592654   53.201107510  -10.800389971  -19.225121563
   -2.187184759   -3.141592654   52.770042372  -11.136329346  -19.813168677
   -2.147417763   -3.141592654   52.311285241  -11.215370364  -20.353636216
   -2.107650768   -3.141592654   51.858603543  -11.319351212  -20.821072396
   -2.067883772   -3.141592654   51.415231687  -11.086022778  -21.322444591
   -2.028116776   -3.141592654   50.980205799  -10.627592807  -21.766155270
   -1.988349781   -3.141592654   50.543041416  -10.192531514  -22.340635172
   -1.948582785   -3.141592654   50.156140922   -9.624737680  -22.902129893
   -1.908815790   -3.141592654   49.777876746   -8.872702450  -23.248901851
   -1.869048794   -3.141592654   49.428767922   -8.290846369  -23.605108760
   -1.829281798   -3.141592654   49.097804689   -7.902184415  -23.648320727
   -1.789514803   -3.141592654   48.795641305   -7.633608278  -23.485891190
   -1.749747807   -3.141592654   48.488579551   -7.586807189  -23.066610181
   -1.709980811   -3.141592654   48.187692427   -7.919350354  -22.593676678
   -1.670213816   -3.141592654   47.854206366   -8.426852701  -21.990918250
   -1.630446820   -3.141592654   47.487430639   -9.275665323  -21.718648591
   -1.590679825   -3.141592654   47.101466251   -9.966876045  -21.845179993
   -1.550912829   -3.141592654   46.679364225  -10.710219878  -22.475238884
   -1.511145833   -3.141592654   46.236465686  -11.226189611  -23.520170174
   -1.471378838   -3.141592654   45.775279999  -11.286882203  -25.070492271
   -1.431611842   -3.141592654   45.321142868  -11.266514597  -26.778085678
   -1.391844847   -3.141592654   44.867993635  -11.029077391  -28.625130033
   -1.352077851   -3.141592654   44.424925340  -11.175172134  -30.463762210
   -1.312310855   -3.141592654   43.949978341  -11.843906858  -32.009098048
   -1.272543860   -3.141592654   43.438907437  -13.471050772  -33.324409168
   -1.232776864   -3.141592654   42.838472486  -16.199748131  -34.401184065
   -1.193009868   -3.141592654   42.102556865  -19.952631626  -35.353720878
   -1.153242873   -3.141592654   41.209389266  -24.669208832  -36.295733389
   -1.113475877   -3.141592654   40.109863916  -30.054258976  -37.236718064
   -1.073708882   -3.141592654   38.786685083  -35.817159116  -38.259506742
   -1.033941886   -3.141592654   37.230097565  -41.586468085  -39.315502311
   -0.994174890   -3.141592654   35.450875199  -47.011640465  -40.333212389
   -0.954407895   -3.141592654   33.463630893  -51.959789599  -41.197807546
   -0.914640899   -3.141592654   31.294007913  -56.118420997  -41.755726294
   -0.874873904   -3.141592654   28.975492578  -59.430013363  -41.936770774
   -0.835106908   -3.141592654   26.534729443  -61.648404448  -41.699597136
   -0.795339912   -3.141592654   24.036784502  -63.028796160  -41.037987212
   -0.755572917   -3.141592654   21.504657287  -63.337658622  -39.802208260
   -0.715805921   -3.141592654   18.988351171  -62.543456979  -38.218330599
   -0.676038925   -3.141592654   16.522139065  -60.479340265  -36.207887572
   -0.636271930   -3.141592654   14.159898300  -57.302663638  -33.770500464
   -0.596504934   -3.141592654   11.949327880  -53.233013948  -31.083237816
   -0.556737939   -3.141592654    9.909380719  -48.270760774  -28.159784973
   -0.516970943   -3.141592654    8.080402194  -42.825429603  -25.117781876
   -0.477203947   -3.141592654    6.478772996  -37.224347483  -22.049059666
   -0.437436952   -3.141592654    5.098263194  -31.528814904  -18.944261688
   -0.397669956   -3.141592654    3.935020227  -26.006559727  -15.957109591
   -0.357902961   -3.141592654    2.987150717  -21.076774622  -13.121511769
   -0.318135965   -3.141592654    2.224337680  -16.656651850  -10.561917689
   -0.278368969   -3.141592654    1.623590536  -12.798785533   -8.234920203
   -0.238601974   -3.141592654    1.171669523   -9.709783383   -6.325641409
   -0.198834978   -3.141592654    0.830083684   -7.089908343   -4.749696846
   -0.159067982   -3.141592654    0.582973013   -4.931879205   -3.416605278
